Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  [80] norm2u3 (real.c:826 @ 402603) [61] resid (real.c:538 @ 404322) [148] vranlc (randdp.c:134 @ 407aec)
  [70] norm2u3 (real.c:828 @ 40260f) [69] resid (real.c:537 @ 404326) [86] vranlc (randdp.c:131 @ 407af0)
  [71] norm2u3 (real.c:828 @ 402617) [105] resid (real.c:530 @ 40432a) [18] vranlc (randdp.c:132 @ 407af4)
 [171] psinv (real.c:449 @ 404a00) [13] resid (real.c:537 @ 40432e) [44] vranlc (randdp.c:133 @ 407b04)
  [66] psinv (real.c:460 @ 404d18) [139] resid (real.c:538 @ 404345) [45] vranlc (randdp.c:134 @ 407b0c)
  [14] psinv (real.c:461 @ 404d90) [17] resid (real.c:537 @ 404350) [23] vranlc (randdp.c:135 @ 407b14)
  [47] psinv (real.c:462 @ 404db2) [7] resid (real.c:538 @ 404354) [56] vranlc (randdp.c:136 @ 407b24)
  [49] psinv (real.c:461 @ 404db9) [5] resid (real.c:529 @ 40435c) [87] vranlc (randdp.c:137 @ 407b31)
   [8] psinv (real.c:462 @ 404dbd) [140] resid (real.c:529 @ 40440e) [175] wtime_ (wtime.c:8 @ 401750)
  [21] psinv (real.c:464 @ 404dde) [141] resid (real.c:521 @ 40444f) [167] zran3 (real.c:969 @ 402d90)
  [41] psinv (real.c:462 @ 404de5) [83] resid (real.c:538 @ 404722) [122] zran3 (real.c:977 @ 402da8)
 [134] psinv (real.c:463 @ 404de9) [159] resid (real.c:537 @ 40475a) [149] zran3 (real.c:969 @ 402dba)
  [72] psinv (real.c:461 @ 404df6) [116] resid (real.c:530 @ 404763) [64] zran3 (real.c:970 @ 402dc9)
  [32] psinv (real.c:463 @ 404dff) [160] resid (real.c:538 @ 4047a4)
   [3] psinv (real.c:464 @ 404e10) [161] resid (real.c:537 @ 4047af)
